player_name,player_id,team_id,match_id,runs,balls_faced,fours,sixes,strike_rate,dnb,is_out,dismissal_type
Dunith Wellalage,161,10,14,2,9,0,0,22.22,0,1,run out (Cummins)
Chamika Karunaratne,154,10,14,2,11,0,0,18.18,0,1,lbw b Zampa
Maheesh Theekshana,160,10,14,0,5,0,0,0.00,0,1,lbw b Zampa
Lahiru Kumara,162,10,14,4,8,1,0,50.00,0,1, b Starc
Dilshan Madushanka,158,10,14,0,6,0,0,0.00,0,0,
Mitchell Marsh,24,2,14,52,51,9,0,101.96,0,1,run out (Karunaratne/†Mendis)
David Warner,21,2,14,11,6,0,1,183.33,0,1,lbw b Madushanka
Steven Smith,20,2,14,0,5,0,0,0.00,0,1,lbw b Madushanka
Marnus Labuschagne,19,2,14,40,60,2,0,66.66,0,1,c Karunaratne b Madushanka
Josh Inglis,18,2,14,58,59,5,1,98.30,0,1,c Theekshana b Wellalage
Glenn Maxwell,25,2,14,31,21,4,2,147.61,0,0,
Marcus Stoinis,26,2,14,20,10,2,1,200.00,0,0,
Josh Inglis,18,2,14,0,0,0,0,0,1,0,
Mitchell Starc,29,2,14,0,0,0,0,0,1,0,
Pat Cummins,27,2,14,0,0,0,0,0,1,0,
Adam Zampa,30,2,14,0,0,0,0,0,1,0,
Josh Hazlewood,28,2,14,0,0,0,0,0,1,0,
Vikramjit Singh,86,6,15,2,16,0,0,12.50,0,1,c Klaasen b Rabada
Max O'Dowd,85,6,15,18,25,4,0,72.00,0,1,c †de Kock b Jansen
Colin Ackermann,87,6,15,12,25,1,0,48.00,0,1, b Coetzee
Bas de Leede,88,6,15,2,7,0,0,28.57,0,1,lbw b Rabada
Sybrand Engelbrecht,89,6,15,19,37,1,1,51.35,0,1,c Jansen b Ngidi
Teja Nidamanuru,90,6,15,20,25,3,0,80.00,0,1,lbw b Jansen
Scott Edwards,82,6,15,78,69,10,1,113.04,0,0,
Logan van Beek,95,6,15,10,27,1,0,37.03,0,1,st †de Kock b Maharaj
Roelof van der Merwe,92,6,15,29,19,3,1,152.63,0,1,c †de Kock b Ngidi
Aryan Dutt,93,6,15,23,9,0,3,255.55,0,0,
Scott Edwards,82,6,15,0,0,0,0,0,1,0,
Paul van Meekeren,96,6,15,0,0,0,0,0,1,0,
Temba Bavuma,129,9,15,16,31,2,1,51.61,0,1, b van der Merwe
Quinton de Kock,130,9,15,20,22,3,0,90.90,0,1,c †Edwards b Ackermann
Rassie van der Dussen,135,9,15,4,7,0,0,57.14,0,1,c Dutt b van der Merwe
Aiden Markram,133,9,15,1,3,0,0,33.33,0,1, b van Meekeren
Heinrich Klaasen,132,9,15,28,28,4,0,100.00,0,1,c Vikramjit Singh b van Beek
David Miller,134,9,15,43,52,4,1,82.69,0,1, b van Beek
Marco Jansen,136,9,15,9,25,0,0,36.00,0,1, b van Meekeren
Gerald Coetzee,138,9,15,22,23,2,1,95.65,0,1,c †Edwards b de Leede
Keshav Maharaj,139,9,15,40,37,5,1,108.10,0,1,c †Edwards b van Beek
Kagiso Rabada,141,9,15,9,6,0,1,150.00,0,1,c Engelbrecht b de Leede
Lungi Ngidi,140,9,15,7,24,0,0,29.16,0,0,
Devon Conway,100,7,16,20,18,3,0,111.11,0,1,lbw b Mujeeb Ur Rahman
Will Young,101,7,16,54,64,4,3,84.37,0,1,c †Ikram Alikhil b Azmatullah Omarzai
Rachin Ravindra,106,7,16,32,41,2,1,78.04,0,1, b Azmatullah Omarzai
Daryl Mitchell,103,7,16,1,7,0,0,14.28,0,1,c Ibrahim Zadran b Rashid Khan
